Instruction_In_IF,Data_S1_ID,Data_S2_ID,Data_S3_ID,RS2_Inst_Field_ID,Opcode_R3_ID,Opcode_R4_ID,Register_RD_ID,Immediate_16_ID,LI_Offset_ID,Result_Select_ID,Register_Write_Enable_ID,Final_Result_EX
XXXXXX,XXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXX,X,X,X,XX,XXXX,X,X,1,0
XXXXXX,XXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXX,0,0,0,0,0,0,0,0,0
XXXXXX,0,0,0,0,0,0,0,0,0,0,0,0
XXXXXX,0,0,0,0,0,0,0,0,0,0,0,0
XXXXXX,0,0,0,0,0,0,0,0,0,0,0,0
XXXXXX,0,0,0,0,0,0,0,0,0,0,0,0
XXXXXX,0,0,0,0,0,0,0,0,0,0,0,0
XXXXXX,0,0,0,0,0,0,0,0,0,0,0,0
XXXXXX,0,0,0,0,0,0,0,0,0,0,0,0
XXXXXX,0,0,0,0,0,0,0,0,0,0,0,0
XXXXXX,0,0,0,0,0,0,0,0,0,0,0,0
XXXXXX,0,0,0,0,0,0,0,0,0,0,0,0
XXXXXX,0,0,0,0,0,0,0,0,0,0,0,0
XXXXXX,0,0,0,0,0,0,0,0,0,0,0,0
XXXXXX,0,0,0,0,0,0,0,0,0,0,0,0
XXXXXX,0,0,0,0,0,0,0,0,0,0,0,0
XXXXXX,0,0,0,0,0,0,0,0,0,0,0,0
XXXXXX,0,0,0,0,0,0,0,0,0,0,0,0
XXXXXX,0,0,0,0,0,0,0,0,0,0,0,0
XXXXXX,0,0,0,0,0,0,0,0,0,0,0,0
XXXXXX,0,0,0,0,0,0,0,0,0,0,0,0
XXXXXX,0,0,0,0,0,0,0,0,0,0,0,0
XXXXXX,0,0,0,0,0,0,0,0,0,0,0,0
XXXXXX,0,0,0,0,0,0,0,0,0,0,0,0
XXXXXX,0,0,0,0,0,0,0,0,0,0,0,0
XXXXXX,0,0,0,0,0,0,0,0,0,0,0,0
XXXXXX,0,0,0,0,0,0,0,0,0,0,0,0
XXXXXX,0,0,0,0,0,0,0,0,0,0,0,0
XXXXXX,0,0,0,0,0,0,0,0,0,0,0,0
XXXXXX,0,0,0,0,0,0,0,0,0,0,0,0
XXXXXX,0,0,0,0,0,0,0,0,0,0,0,0
XXXXXX,0,0,0,0,0,0,0,0,0,0,0,0
XXXXXX,0,0,0,0,0,0,0,0,0,0,0,0
800020,0,0,0,X,X,X,XX,XXXX,X,X,1,0
800020,XXXXXXXXXXXXXXXX,0,0,0,0,0,0,1,0,2,1,0
A00040,XXXXXXXXXXXXXXXX,1,1,0,0,0,0,1,0,2,1,1
8000,XXXXXXXXXXXXXXXX,1,1,0,0,2,0,2,1,2,1,1
800081,20001,20001,XXXXXXXXXXXXXXXX,0,1,0,0,400,0,0,1,20001
A00101,XXXXXXXXXXXXXXXX,2.0001E+12,XXXXXXXXXXXXXXXX,0,0,0,1,4,0,2,1,2.0001E+12
8021,XXXXXXXXXXXXXXXX,2.0001E+12,XXXXXXXXXXXX0004,0,0,2,1,8,1,2,1,XXXXXXXXXXXX0004
800202,XXXXXXXX00080004,2.0001E+12,XXXXXXXX00080004,0,1,0,1,401,0,0,1,XXXXXXXX00080004
A00802,XXXXXXXXXXXXXXXX,2.0001E+12,XXXXXXXXXXXXXXXX,0,0,0,2,10,0,2,1,8.0004E+12
C00402,2.0001E+12,XXXXXXXXXXXX0010,XXXXXXXXXXXX0010,2,0,2,2,40,1,2,1,XXXXXXXXXXXX0010
E01002,2.0001E+12,8.0004E+12,XXXXXXXX00400010,1,0,0,2,20,2,2,1,XXXXXXXX00400010
049CE7,2.0001E+12,XXXXXXXXXXXXXXXX,XXXX002000400010,4,0,2,2,80,3,2,1,XXXX002000400010
4.01E+06,XXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXX,XXXXXXXXXXXXXXXX,7,9,0,7,2.40E+08,0,0,1,8.0002E+13
4.09E+07,0,8.0002E+13,2.0001E+12,2,0,0,3,47,2,1,1,0
500865,0,8.0002E+13,8.0004E+12,2,1,0,4,447,2,1,1,2000000010
508886,2000000010,8.0002E+13,2.0001E+12,2,0,1,5,8043,2,1,1,8000000040
0,8000000040,8.0002E+13,8.0004E+12,2,1,1,6,8444,2,1,1,12000000090
0,2.0001E+12,2.0001E+12,2.0001E+12,0,0,0,0,0,0,0,0,48000000240
0,2.0001E+12,2.0001E+12,2.0001E+12,0,0,0,0,0,0,0,0,0
0,2.0001E+12,2.0001E+12,2.0001E+12,0,0,0,0,0,0,0,0,0
0,2.0001E+12,2.0001E+12,2.0001E+12,0,0,0,0,0,0,0,0,0
0,2.0001E+12,2.0001E+12,2.0001E+12,0,0,0,0,0,0,0,0,0
0,2.0001E+12,2.0001E+12,2.0001E+12,0,0,0,0,0,0,0,0,0
0,2.0001E+12,2.0001E+12,2.0001E+12,0,0,0,0,0,0,0,0,0
0,2.0001E+12,2.0001E+12,2.0001E+12,0,0,0,0,0,0,0,0,0
0,2.0001E+12,2.0001E+12,2.0001E+12,0,0,0,0,0,0,0,0,0
0,2.0001E+12,2.0001E+12,2.0001E+12,0,0,0,0,0,0,0,0,0
0,2.0001E+12,2.0001E+12,2.0001E+12,0,0,0,0,0,0,0,0,0
0,2.0001E+12,2.0001E+12,2.0001E+12,0,0,0,0,0,0,0,0,0
0,2.0001E+12,2.0001E+12,2.0001E+12,0,0,0,0,0,0,0,0,0
0,2.0001E+12,2.0001E+12,2.0001E+12,0,0,0,0,0,0,0,0,0
